algorithm,size,time,cpu_percent,memory_percent,path_length
Astar,50,0.007088184356689453,94.1,70.6,99
BFS_checker,50,0.026658058166503906,94.7,70.6,99
PRM,50,0.13989996910095215,94.7,70.1,
Astar,50,0.013034820556640625,75.0,70.5,99
BFS_checker,50,0.025686025619506836,69.2,70.5,99
PRM,50,0.21236824989318848,0.0,70.0,118
Astar,50,0.01427602767944336,0.0,70.3,99
BFS_checker,50,0.030949831008911133,0.0,70.3,99
PRM,50,0.2448577880859375,76.3,70.3,121
Astar,50,0.012060880661010742,93.7,70.4,99
BFS_checker,50,0.03219914436340332,93.0,70.4,99
PRM,50,0.22257423400878906,78.5,70.4,119
Astar,50,0.004782915115356445,96.0,70.5,99
BFS_checker,50,0.018262147903442383,94.6,70.5,99
PRM,50,0.15002107620239258,83.1,69.9,132
Astar,50,0.01129007339477539,94.8,70.4,99
BFS_checker,50,0.028350830078125,94.4,70.4,99
PRM,50,0.17932796478271484,82.0,70.4,
BFS_checker,50,0.0247800350189209,94.5,70.5,99
Astar,50,0.021630048751831055,94.1,70.5,99
PRM,50,0.2882678508758545,80.8,69.8,118
Astar,50,0.0067369937896728516,94.0,70.5,99
BFS_checker,50,0.02490711212158203,93.5,70.5,99
PRM,50,0.20801305770874023,78.7,69.9,119
Astar,50,0.007550954818725586,94.9,70.5,99
BFS_checker,50,0.017168760299682617,94.1,70.5,99
PRM,50,0.13572192192077637,86.5,70.0,120
BFS_checker,50,0.028918743133544922,100.0,70.6,99
Astar,50,0.012666940689086914,0.0,70.6,99
PRM,50,0.22160100936889648,80.4,70.0,118
BFS_checker,50,0.02876901626586914,93.5,70.4,99
Astar,50,0.016139745712280273,93.6,70.4,99
PRM,50,0.2223680019378662,80.6,69.9,118
Astar,50,0.01025390625,93.2,70.5,99
BFS_checker,50,0.026114702224731445,93.0,70.5,99
PRM,50,0.23584365844726562,83.1,69.7,119
Astar,50,0.019995927810668945,94.7,70.2,99
BFS_checker,50,0.05276608467102051,93.1,70.2,99
